"YEAR","MH1","EDUC","RACE","Subgroup_Population"
2013,"Missing",1,1,14
2013,"Missing",1,2,29
2013,"Missing",1,3,256
2013,"Missing",1,5,702
2013,"Missing",1,6,86
2013,"Missing",2,1,880
2013,"Missing",2,2,471
2013,"Missing",2,3,5979
2013,"Missing",2,4,79
2013,"Missing",2,5,23560
2013,"Missing",2,6,4323
2013,"Missing",3,1,649
2013,"Missing",3,2,236
2013,"Missing",3,3,4933
2013,"Missing",3,4,49
2013,"Missing",3,5,15983
2013,"Missing",3,6,2436
2013,"Missing",4,1,1017
2013,"Missing",4,2,434
2013,"Missing",4,3,6577
2013,"Missing",4,4,84
2013,"Missing",4,5,32969
2013,"Missing",4,6,2017
2013,"Missing",5,1,400
2013,"Missing",5,2,210
2013,"Missing",5,3,1566
2013,"Missing",5,4,36
2013,"Missing",5,5,11466
2013,"Missing",5,6,522
2013,"Trauma/Stress-related Disorder",1,1,22
2013,"Trauma/Stress-related Disorder",1,2,11
2013,"Trauma/Stress-related Disorder",1,3,295
2013,"Trauma/Stress-related Disorder",1,5,812
2013,"Trauma/Stress-related Disorder",1,6,43
2013,"Trauma/Stress-related Disorder",2,1,1865
2013,"Trauma/Stress-related Disorder",2,2,710
2013,"Trauma/Stress-related Disorder",2,3,18801
2013,"Trauma/Stress-related Disorder",2,4,224
2013,"Trauma/Stress-related Disorder",2,5,66358
2013,"Trauma/Stress-related Disorder",2,6,8898
2013,"Trauma/Stress-related Disorder",3,1,740
2013,"Trauma/Stress-related Disorder",3,2,276
2013,"Trauma/Stress-related Disorder",3,3,9065
2013,"Trauma/Stress-related Disorder",3,4,53
2013,"Trauma/Stress-related Disorder",3,5,27072
2013,"Trauma/Stress-related Disorder",3,6,3180
2013,"Trauma/Stress-related Disorder",4,1,859
2013,"Trauma/Stress-related Disorder",4,2,386
2013,"Trauma/Stress-related Disorder",4,3,8936
2013,"Trauma/Stress-related Disorder",4,4,91
2013,"Trauma/Stress-related Disorder",4,5,41264
2013,"Trauma/Stress-related Disorder",4,6,2999
2013,"Trauma/Stress-related Disorder",5,1,274
2013,"Trauma/Stress-related Disorder",5,2,196
2013,"Trauma/Stress-related Disorder",5,3,3065
2013,"Trauma/Stress-related Disorder",5,4,65
2013,"Trauma/Stress-related Disorder",5,5,17437
2013,"Trauma/Stress-related Disorder",5,6,1323
2013,"Anxiety Disorder",1,1,8
2013,"Anxiety Disorder",1,2,8
2013,"Anxiety Disorder",1,3,198
2013,"Anxiety Disorder",1,5,819
2013,"Anxiety Disorder",1,6,44
2013,"Anxiety Disorder",2,1,593
2013,"Anxiety Disorder",2,2,239
2013,"Anxiety Disorder",2,3,4447
2013,"Anxiety Disorder",2,4,107
2013,"Anxiety Disorder",2,5,28757
2013,"Anxiety Disorder",2,6,3177
2013,"Anxiety Disorder",3,1,367
2013,"Anxiety Disorder",3,2,112
2013,"Anxiety Disorder",3,3,3447
2013,"Anxiety Disorder",3,4,41
2013,"Anxiety Disorder",3,5,21519
2013,"Anxiety Disorder",3,6,1544
2013,"Anxiety Disorder",4,1,576
2013,"Anxiety Disorder",4,2,217
2013,"Anxiety Disorder",4,3,4940
2013,"Anxiety Disorder",4,4,137
2013,"Anxiety Disorder",4,5,41071
2013,"Anxiety Disorder",4,6,2150
2013,"Anxiety Disorder",5,1,190
2013,"Anxiety Disorder",5,2,157
2013,"Anxiety Disorder",5,3,1972
2013,"Anxiety Disorder",5,4,80
2013,"Anxiety Disorder",5,5,19531
2013,"Anxiety Disorder",5,6,1001
2013,"ADHD",1,1,9
2013,"ADHD",1,2,6
2013,"ADHD",1,3,343
