"YEAR","MH1","RACE","MARSTAT","Subgroup_Population"
2013,"Missing",1,1,2596
2013,"Missing",1,2,647
2013,"Missing",1,3,172
2013,"Missing",1,4,557
2013,"Missing",2,1,2112
2013,"Missing",2,2,508
2013,"Missing",2,3,101
2013,"Missing",2,4,302
2013,"Missing",3,1,61233
2013,"Missing",3,2,4372
2013,"Missing",3,3,2289
2013,"Missing",3,4,3685
2013,"Missing",4,1,318
2013,"Missing",4,2,56
2013,"Missing",4,3,17
2013,"Missing",4,4,46
2013,"Missing",5,1,177005
2013,"Missing",5,2,34880
2013,"Missing",5,3,12227
2013,"Missing",5,4,31420
2013,"Missing",6,1,21382
2013,"Missing",6,2,2345
2013,"Missing",6,3,837
2013,"Missing",6,4,1371
2013,"Trauma/Stress-related Disorder",1,1,4301
2013,"Trauma/Stress-related Disorder",1,2,478
2013,"Trauma/Stress-related Disorder",1,3,193
2013,"Trauma/Stress-related Disorder",1,4,431
2013,"Trauma/Stress-related Disorder",2,1,1313
2013,"Trauma/Stress-related Disorder",2,2,472
2013,"Trauma/Stress-related Disorder",2,3,90
2013,"Trauma/Stress-related Disorder",2,4,208
2013,"Trauma/Stress-related Disorder",3,1,42488
2013,"Trauma/Stress-related Disorder",3,2,3881
2013,"Trauma/Stress-related Disorder",3,3,1812
2013,"Trauma/Stress-related Disorder",3,4,2951
2013,"Trauma/Stress-related Disorder",4,1,544
2013,"Trauma/Stress-related Disorder",4,2,61
2013,"Trauma/Stress-related Disorder",4,3,24
2013,"Trauma/Stress-related Disorder",4,4,55
2013,"Trauma/Stress-related Disorder",5,1,137476
2013,"Trauma/Stress-related Disorder",5,2,27126
2013,"Trauma/Stress-related Disorder",5,3,9696
2013,"Trauma/Stress-related Disorder",5,4,23864
2013,"Trauma/Stress-related Disorder",6,1,16578
2013,"Trauma/Stress-related Disorder",6,2,1938
2013,"Trauma/Stress-related Disorder",6,3,664
2013,"Trauma/Stress-related Disorder",6,4,1333
2013,"Anxiety Disorder",1,1,1618
2013,"Anxiety Disorder",1,2,293
2013,"Anxiety Disorder",1,3,105
2013,"Anxiety Disorder",1,4,263
2013,"Anxiety Disorder",2,1,680
2013,"Anxiety Disorder",2,2,215
2013,"Anxiety Disorder",2,3,17
2013,"Anxiety Disorder",2,4,82
2013,"Anxiety Disorder",3,1,14681
2013,"Anxiety Disorder",3,2,1878
2013,"Anxiety Disorder",3,3,844
2013,"Anxiety Disorder",3,4,1760
2013,"Anxiety Disorder",4,1,380
2013,"Anxiety Disorder",4,2,81
2013,"Anxiety Disorder",4,3,12
2013,"Anxiety Disorder",4,4,68
2013,"Anxiety Disorder",5,1,85486
2013,"Anxiety Disorder",5,2,26115
2013,"Anxiety Disorder",5,3,7128
2013,"Anxiety Disorder",5,4,22856
2013,"Anxiety Disorder",6,1,7860
2013,"Anxiety Disorder",6,2,1326
2013,"Anxiety Disorder",6,3,368
2013,"Anxiety Disorder",6,4,850
2013,"ADHD",1,1,2025
2013,"ADHD",1,2,25
2013,"ADHD",1,3,8
2013,"ADHD",1,4,36
2013,"ADHD",2,1,561
2013,"ADHD",2,2,17
2013,"ADHD",2,3,2
2013,"ADHD",2,4,4
2013,"ADHD",3,1,58946
2013,"ADHD",3,2,438
2013,"ADHD",3,3,96
2013,"ADHD",3,4,134
2013,"ADHD",4,1,287
2013,"ADHD",4,2,9
2013,"ADHD",4,3,4
2013,"ADHD",4,4,7
2013,"ADHD",5,1,114374
2013,"ADHD",5,2,3036
2013,"ADHD",5,3,655
2013,"ADHD",5,4,1878
2013,"ADHD",6,1,12874
2013,"ADHD",6,2,162
2013,"ADHD",6,3,31
2013,"ADHD",6,4,71
2013,"Conduct Disorder",1,1,729
2013,"Conduct Disorder",1,2,3
2013,"Conduct Disorder",1,4,4
2013,"Conduct Disorder",2,1,190
2013,"Conduct Disorder",2,2,2
2013,"Conduct Disorder",2,3,2
2013,"Conduct Disorder",2,4,2
2013,"Conduct Disorder",3,1,17441
2013,"Conduct Disorder",3,2,211
2013,"Conduct Disorder",3,3,25
2013,"Conduct Disorder",3,4,25
2013,"Conduct Disorder",4,1,124
2013,"Conduct Disorder",4,2,2
2013,"Conduct Disorder",5,1,29802
2013,"Conduct Disorder",5,2,200
