"STATEFIP","YEAR","POPULATION","SPHSERVICE","CMPSERVICE","OPISERVICE","RTCSERVICE","IJSSERVICE","Missing","Trauma/Stress-related Disorder","Anxiety Disorder","ADHD","Conduct Disorder","Delirium/Dementia","Bipolar Disorder","Depressive Disorder","Oppositional Defiant Disorder","Pervasive Developmental Disorders","Personality Disorders","Schizophrenia or other Psychotic Disorders","Alcohol/Substance Use Disorders","Other Disorder/Condition","CODE"
"Alabama",2013,97362,1995,96690,1733,70,1,2139,6252,4532,12546,2911,719,16224,27650,1822,803,45,17126,1764,2829,1
"Arizona",2013,191093,266,190931,12225,294,2,38,28555,19483,20780,3974,142,46004,42082,1809,4279,566,19382,80,3919,4
"Arkansas",2013,69963,989,69484,3055,762,1,3355,7906,6006,5313,2856,154,12317,16526,2856,157,158,8332,0,4027,5
"California",2013,672620,20,654819,26616,8592,18990,6558,77098,39751,38514,26540,1104,100515,164907,15966,3785,1056,112502,23455,60869,6
"Colorado",2013,103282,1470,99900,1,1910,3,1136,19974,8259,6286,2545,157,20990,25751,1967,370,273,11468,1647,2459,8
"Connecticut",2013,89639,1285,88602,734,309,3,14666,12751,7499,2888,2241,391,14137,18905,1594,1642,72,11360,0,1493,9
"Delaware",2013,9127,2715,7035,1334,228,2,1082,937,374,570,190,21,1719,1723,172,26,7,1571,447,288,10
"Florida",2013,260065,6384,257410,5960,12339,8120,22130,26189,12925,22589,4002,347,52256,69401,3514,546,462,41224,1224,3256,12
"Hawaii",2013,12809,439,12672,174,168,0,842,2001,249,362,301,65,1746,2914,264,27,94,3595,159,190,15
"Idaho",2013,11880,1411,11225,1382,75,4,3571,237,80,103,48,18,980,875,63,21,1777,671,492,2944,16
"Illinois",2013,140482,6923,133559,0,2,5,25,15368,8102,11749,1350,44,29321,44252,2550,34,237,20986,7,6457,17
"Indiana",2013,126025,1235,125295,1412,1874,1,659,11882,8754,13894,6764,126,18557,41804,5901,545,469,14480,0,2190,18
"Iowa",2013,106151,1183,105541,6721,99,3,29710,17196,7863,14531,4058,263,7397,13909,3564,1409,169,4586,271,1225,19
"Kansas",2013,84636,3383,82828,1252,752,2,1586,11635,7951,10816,4463,285,14603,18666,2898,1178,427,7724,0,2404,20
"Kentucky",2013,161441,6735,159654,0,1,4,4387,20730,14064,17061,7176,862,26098,39189,4494,3992,568,11370,4742,6708,21
"Louisiana",2013,51153,1848,49837,1,0,0,10342,1131,1650,3432,491,0,9275,14970,526,223,117,8355,0,641,22
"Maine",2013,71236,254,71117,0,1695,1,464,15961,11191,6652,1101,503,9903,16265,859,2162,186,3563,1060,1366,23
"Maryland",2013,153768,1735,152188,9674,810,4,266,23683,13115,21017,4335,201,31847,38820,3035,55,266,13870,79,3179,24
"Massachusetts",2013,29226,1559,28642,432,149,0,1377,2523,851,768,54,39,6482,4172,58,166,1485,10360,0,891,25
"Mississippi",2013,87379,2981,86262,0,81,31,609,7584,5562,13292,3578,310,11876,22156,4440,734,160,10682,4183,2213,28
"Missouri",2013,75707,1545,74467,35,178,79,2786,6209,4540,5657,397,82,18144,21255,1000,447,415,13745,2,1028,29
"Montana",2013,41812,847,41224,4440,636,1,4525,6128,4176,2593,274,1239,4836,9593,1576,1262,505,3116,770,1219,30
"Nebraska",2013,22040,435,20127,3041,111,1,1480,2371,1062,641,126,48,5545,6195,176,78,149,3275,0,894,31
"Nevada",2013,29196,2978,28751,0,124,1,2076,2197,1670,466,301,47,7091,7442,109,98,42,5232,1795,630,32
"New Jersey",2013,324221,3043,308098,12521,4359,24,68719,41080,19535,11668,3517,2868,27199,62772,6266,2204,2090,30622,20273,25408,34
"New Mexico",2013,80772,884,80102,2737,1089,0,2398,21370,6725,7062,1895,640,9607,15857,1897,786,174,4787,4448,3126,35
"New York",2013,53000,10174,46277,1,1,16393,1227,5450,2234,1486,346,0,9519,8687,349,0,2477,20381,0,844,36
"North Carolina",2013,223440,3293,221683,379,35,2,6310,25936,20420,20459,6471,1965,42350,60067,11177,11,2471,21329,0,4474,37
"North Dakota",2013,15012,479,15012,3058,73,366,1980,1479,1572,893,178,108,1654,3674,151,198,163,1523,9,1430,38
"Ohio",2013,323540,6306,321972,7,1732,7,8285,51257,23972,36461,12552,905,47037,72123,11810,3919,1276,26975,19340,7628,39
"Oklahoma",2013,77409,1671,76192,3863,1916,1282,8907,7770,8088,2512,1000,63,12688,20665,1129,246,1545,7789,0,5007,40
"Oregon",2013,129245,1450,126905,6667,2572,14,46241,25323,9678,7524,627,658,8004,17247,1700,1602,231,9076,2,1332,41
"Pennsylvania",2013,646605,968,646365,0,0,1,230899,47739,27382,50211,10400,5545,48340,91309,10784,20258,527,19233,71102,12876,42
"Rhode Island",2013,32147,873,31888,0,0,0,10087,3113,1985,1460,575,85,4989,6777,265,164,34,2324,39,250,44
"South Carolina",2013,79301,1684,78588,1,35,170,2623,6864,4160,9814,2633,210,12133,18479,2401,492,917,15026,2098,1451,45
"South Dakota",2013,14438,1462,13176,0,1,2,55,3328,947,1233,321,222,1785,3394,395,173,7,1679,79,820,46
"Tennessee",2013,95636,6852,87911,2091,422,8,8576,7479,10056,5805,1066,275,23132,28043,1254,356,415,7644,46,1489,47
"Texas",2013,311228,16285,308798,14096,211,9,76054,6756,2799,21562,3142,287,73366,71169,2712,713,501,47117,0,5050,48
"Utah",2013,45809,638,45161,1845,591,2757,4494,4699,6030,1262,976,661,7340,11317,961,1580,513,4950,0,1026,49
"Vermont",2013,24435,0,24378,1,2082,2,4043,6255,2147,1476,294,88,1717,4508,313,403,113,1645,188,1245,50
"Virginia",2013,109699,4406,108623,0,0,1,5815,10441,10897,10010,2723,988,17646,22744,3104,0,4560,15652,0,5119,51
"Washington",2013,147977,2985,145770,9906,108,8,18741,24696,13797,4694,2899,1711,17284,42105,1411,270,639,16859,2044,827,53
"Wisconsin",2013,97812,4440,91482,12007,2623,15,8776,11342,7139,3514,604,783,15380,24139,639,502,971,15106,1714,7203,55
"Wyoming",2013,16582,293,16272,0,0,404,368,3117,1693,986,492,57,2104,4784,441,183,137,796,0,1424,56
"Other Jurisdiction",2013,206,4,206,0,0,0,105,7,5,9,1,1,8,22,0,1,2,24,15,6,99
"Alabama",2014,94474,1575,93892,2100,72,1,391,5816,4572,12227,3000,732,15817,26308,1730,830,40,17275,1426,4310,1
"Arizona",2014,158173,289,158019,10033,279,6,26,24135,15762,16395,2722,95,38731,32908,1401,4017,395,18483,91,3012,4
"Arkansas",2014,67641,983,67209,3013,488,4,3428,7656,6133,3670,3059,125,12356,16260,2504,163,157,8390,3,3737,5
"California",2014,697180,10202,659315,27129,8794,43763,6772,71986,49427,23568,23563,2019,110699,169189,14701,6306,3327,122016,37638,55969,6
"Colorado",2014,114721,1790,110647,1,2286,4,1175,22576,10218,6852,2526,190,22503,28983,1843,348,234,12456,2268,2549,8
"Connecticut",2014,91525,1260,90449,535,1546,6,12434,13467,6910,3149,2403,345,14902,20203,1612,1651,512,11226,0,2711,9
"Delaware",2014,10065,522,9644,1343,234,0,973,1125,357,487,196,28,1875,1884,148,42,13,1825,834,278,10
